
---------------------------------
STARTING SOLVE:
---------------------------------
num states (in ADMM): 12
num inputs (in ADMM): 4
num constraints per point = 32
constraints list length = 4

Iteration 45 -- objective cost: 127.16 -- feasibility (inf-norm): 4.08826e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.16rho1: 63.4121, rho2: 3921.35, rho3: 1050.67
Iteration 46 -- objective cost: 127.105 -- feasibility (inf-norm): 3.96488e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.105rho1: 64.6803, rho2: 3921.35, rho3: 1050.67
Iteration 47 -- objective cost: 127.052 -- feasibility (inf-norm): 3.84578e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.052rho1: 65.9739, rho2: 3921.35, rho3: 1050.67
Iteration 48 -- objective cost: 127.001 -- feasibility (inf-norm): 3.73061e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.001rho1: 67.2934, rho2: 3921.35, rho3: 1050.67
Iteration 49 -- objective cost: 126.952 -- feasibility (inf-norm): 3.61938e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.952rho1: 68.6393, rho2: 3921.35, rho3: 1050.67
Iteration 50 -- objective cost: 126.904 -- feasibility (inf-norm): 3.5122e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.904rho1: 70.0121, rho2: 3921.35, rho3: 1050.67
Iteration 51 -- objective cost: 126.859 -- feasibility (inf-norm): 3.40905e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.859rho1: 71.4123, rho2: 3921.35, rho3: 1050.67
Iteration 52 -- objective cost: 126.814 -- feasibility (inf-norm): 3.30978e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.814rho1: 72.8406, rho2: 3921.35, rho3: 1050.67
Iteration 53 -- objective cost: 126.772 -- feasibility (inf-norm): 3.21417e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.772rho1: 74.2974, rho2: 3921.35, rho3: 1050.67
Iteration 54 -- objective cost: 126.731 -- feasibility (inf-norm): 3.12197e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.731rho1: 75.7833, rho2: 3921.35, rho3: 1050.67
Iteration 55 -- objective cost: 126.691 -- feasibility (inf-norm): 3.03299e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.691rho1: 77.299, rho2: 3921.35, rho3: 1050.67
Iteration 56 -- objective cost: 126.652 -- feasibility (inf-norm): 2.94706e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.652rho1: 78.845, rho2: 3921.35, rho3: 1050.67
Iteration 57 -- objective cost: 126.615 -- feasibility (inf-norm): 2.86409e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.615rho1: 80.4219, rho2: 3921.35, rho3: 1050.67
Iteration 58 -- objective cost: 126.579 -- feasibility (inf-norm): 2.78396e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 126.579rho1: 82.0303, rho2: 3921.35, rho3: 1050.67
